Connector C,,,Anchor E,,,Connector K,,,Anchor M,,
X,Y,SPEED,X,Y,SPEED,X,Y,SPEED,X,Y,SPEED
-25.000000006249998,18.604260457240283,6.737841640193142,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-10.568198879447440,8.853138006885882,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,18.404960277097288,5.979005404289889,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-10.884295431875783,9.482896572850315,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,18.231102627310133,5.215729493614668,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-11.220176329581257,10.076426931164189,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,18.082626351704544,4.454288268167588,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-11.574458938845774,10.628478277935509,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,17.959279560812558,3.700403726759626,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-11.945603888954999,11.134348503276774,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249984,17.860641634740780,2.959137782153321,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-12.331936388065095,11.589974973302867,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249984,17.786147495241103,2.234824184990293,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-12.731669574198586,11.991995584004711,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,17.735112847611791,1.531039428879444,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-13.142928904298197,12.337779902988336,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,17.706759218846212,0.850608862967361,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-13.563776652856575,12.625432456751330,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,17.700237816519365,0.195642069805375,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-13.992235716439707,12.853771907493998,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250005,17.714651468986709,0.432409574020352,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-14.426312079706964,13.022290898017705,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,17.749074150272833,1.032680438583628,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-14.864015471127493,13.131101742615849,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,17.802567818121876,1.604810035471333,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250005,-15.303377904669988,13.180873006274872,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,17.874196485115192,2.148860009799480,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-15.742469954305029,13.172761489051258,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,17.963037592753114,2.665233229137631,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-16.179414733387972,13.108343372488285,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,18.068190865834165,3.154598192431601,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-16.612399647706891,12.989547429567542,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250016,18.188784892896205,3.617820811861185,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250009,-17.039686059618454,12.818592357346896,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,18.323981714124919,4.055904636861438,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-17.459617044114943,12.597929534894622,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,18.472979708250410,4.469939823764653,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-17.870623440068069,12.330191878593871,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250009,18.635015061662067,4.861060602349797,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-18.271228405925896,12.018148975734803,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,18.809362082582453,5.230410627611547,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-18.660050683287949,11.664668320861582,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,18.995332595781079,5.579115395958773,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-19.035806758003925,11.272682241479250,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,19.192274622893851,5.908260813383206,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-19.397312089980446,10.845159959295598,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,19.399570522724453,6.218876994918038,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249991,-19.743481562245165,10.385084167941644,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,19.616634736774259,6.511926421494169,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250012,-20.073329278831206,9.895431497581166,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,19.842911258766314,6.788295659761630,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249991,-20.385967820945726,9.379156263435648,-5.000000054166666,5.000000054166666,0.000000000000000
